,precision,recall,f1-score,support
0,0.5308641975308642,0.5375,0.5341614906832298,80.0
1,0.5316455696202531,0.525,0.5283018867924528,80.0
accuracy,0.53125,0.53125,0.53125,0.53125
macro avg,0.5312548835755586,0.53125,0.5312316887378413,160.0
weighted avg,0.5312548835755587,0.53125,0.5312316887378413,160.0
